player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4142,平野和明,4,3,0.22,0.15,0.29,0.0,参考
3630,黒田誠司,6,3,0.2,0.14,0.25,33.33,参考
3606,川北浩貴,1,10,0.127,0.02,0.2,40.0,B
3621,天野晶夫,3,11,0.154,0.07,0.27,27.27,B
4061,萩原秀人,4,4,0.105,0.06,0.16,50.0,参考
4140,梶野学志,5,4,0.125,0.05,0.22,0.0,参考
3414,加瀬智宏,1,4,0.122,0.07,0.2,50.0,参考
4709,岡村将也,2,7,0.179,0.11,0.21,28.57,C
3459,中野和裕,4,6,0.165,0.11,0.22,33.33,C
3614,谷勝幸,1,6,0.17,0.11,0.26,16.67,C
3606,川北浩貴,4,5,0.206,0.05,0.37,0.0,C
3624,大石和彦,1,3,0.12,0.06,0.16,33.33,参考
3827,今泉徹,2,8,0.147,0.03,0.25,12.5,C
4467,渡邉俊介,6,3,0.19,0.13,0.28,0.0,参考
3906,飯山晃三,3,9,0.201,0.13,0.29,22.22,C
3605,中村守成,4,4,0.16,0.15,0.17,0.0,参考
4061,萩原秀人,3,6,0.135,0.09,0.21,50.0,C
4033,伊藤将吉,4,6,0.128,0.05,0.22,50.0,C
3630,黒田誠司,2,4,0.158,0.12,0.21,0.0,参考
3989,熊本英一,3,14,0.189,0.05,0.26,0.0,B
4747,山戸信二,4,9,0.169,0.03,0.31,33.33,C
4429,豊田泰洋,5,8,0.199,0.13,0.39,12.5,C
4146,柳橋宏紀,1,7,0.15,0.11,0.19,42.86,C
3624,大石和彦,3,6,0.15,0.08,0.33,0.0,C
3621,天野晶夫,6,9,0.214,0.05,0.44,0.0,C
3432,宮迫暢彦,1,8,0.172,0.06,0.31,25.0,C
3827,今泉徹,4,7,0.201,0.04,0.33,0.0,C
3605,中村守成,6,4,0.242,0.12,0.33,0.0,参考
3414,加瀬智宏,2,4,0.152,0.12,0.18,25.0,参考
4467,渡邉俊介,4,6,0.143,0.11,0.19,33.33,C
4723,寺島吉彦,5,4,0.182,0.08,0.28,0.0,参考
4061,萩原秀人,6,4,0.138,0.08,0.19,50.0,参考
4140,梶野学志,1,8,0.166,0.07,0.26,37.5,C
3614,谷勝幸,2,8,0.198,0.13,0.32,0.0,C
3621,天野晶夫,4,9,0.124,0.03,0.21,33.33,C
3906,飯山晃三,5,8,0.193,0.11,0.31,0.0,C
4723,寺島吉彦,2,4,0.207,0.08,0.35,0.0,参考
3617,竹田広樹,6,4,0.307,0.23,0.38,0.0,参考
4467,渡邉俊介,1,3,0.18,0.09,0.29,66.67,参考
4146,柳橋宏紀,3,12,0.158,0.04,0.3,33.33,B
4709,岡村将也,6,8,0.122,0.01,0.24,50.0,C
3606,川北浩貴,2,8,0.138,0.08,0.23,50.0,C
3989,熊本英一,5,14,0.196,0.12,0.27,0.0,B
4140,梶野学志,2,4,0.175,0.11,0.23,50.0,参考
3432,宮迫暢彦,5,3,0.143,0.1,0.22,0.0,参考
3605,中村守成,5,6,0.18,0.13,0.26,0.0,C
4579,中嶋健一郎,6,6,0.125,0.11,0.16,66.67,C
4724,吉田祐貴,4,4,0.163,0.05,0.29,0.0,参考
3593,横井光弘,1,4,0.145,0.07,0.24,25.0,参考
4061,萩原秀人,2,4,0.095,0.07,0.13,50.0,参考
3605,中村守成,3,3,0.223,0.17,0.25,0.0,参考
4140,梶野学志,4,6,0.153,0.12,0.19,33.33,C
3614,谷勝幸,5,7,0.216,0.16,0.36,0.0,C
3989,熊本英一,6,10,0.232,0.12,0.31,0.0,B
3630,黒田誠司,5,3,0.147,0.12,0.17,0.0,参考
4142,平野和明,6,3,0.17,0.11,0.24,0.0,参考
3624,大石和彦,6,5,0.228,0.14,0.35,0.0,C
3621,天野晶夫,2,11,0.155,0.07,0.26,0.0,B
3614,谷勝幸,3,9,0.151,0.06,0.33,11.11,C
4146,柳橋宏紀,4,6,0.147,0.07,0.22,33.33,C
4579,中嶋健一郎,3,4,0.1,0.07,0.13,25.0,参考
3906,飯山晃三,6,7,0.221,0.14,0.37,0.0,C
3624,大石和彦,2,4,0.17,0.13,0.27,25.0,参考
4033,伊藤将吉,3,5,0.164,0.1,0.31,0.0,C
4429,豊田泰洋,6,5,0.236,0.18,0.34,0.0,C
4709,岡村将也,1,8,0.158,0.1,0.28,37.5,C
3827,今泉徹,6,5,0.196,0.11,0.31,20.0,C
4061,萩原秀人,5,3,0.093,0.09,0.1,33.33,参考
4723,寺島吉彦,4,5,0.158,0.07,0.27,40.0,C
4146,柳橋宏紀,2,11,0.152,0.08,0.21,18.18,B
3605,中村守成,2,4,0.182,0.15,0.21,0.0,参考
3881,浦上拓也,2,6,0.125,0.08,0.17,16.67,C
4164,岩永節也,4,4,0.15,0.13,0.17,0.0,参考
3878,胡本悟志,5,20,0.145,0.04,0.34,35.0,A
3906,飯山晃三,4,6,0.198,0.17,0.25,0.0,C
4747,山戸信二,5,9,0.181,0.08,0.28,44.44,C
4723,寺島吉彦,1,5,0.186,0.08,0.25,0.0,C
4429,豊田泰洋,1,4,0.152,0.11,0.2,25.0,参考
3414,加瀬智宏,3,3,0.18,0.13,0.25,0.0,参考
3827,今泉徹,1,5,0.214,0.14,0.27,0.0,C
3989,熊本英一,1,9,0.214,0.13,0.4,11.11,C
3432,宮迫暢彦,4,8,0.193,0.13,0.33,0.0,C
3606,川北浩貴,5,6,0.175,0.13,0.24,0.0,C
3628,石間徹,4,3,0.197,0.17,0.21,0.0,参考
3171,田川忠志,5,3,0.217,0.14,0.28,0.0,参考
3293,宮内由紀英,6,3,0.233,0.18,0.29,0.0,参考
3024,西島義則,1,13,0.195,0.05,0.38,23.08,B
3627,井上恵一,2,20,0.192,0.11,0.33,10.0,A
3161,古場輝義,4,10,0.174,0.06,0.28,10.0,B
3191,井坂友則,6,6,0.327,0.18,0.43,0.0,C
3158,島川光男,2,3,0.167,0.04,0.25,0.0,参考
3310,金澤一洋,5,3,0.19,0.11,0.27,0.0,参考
3233,小畑実成,6,8,0.134,0.07,0.21,37.5,C
3010,大嶋一也,2,4,0.158,0.08,0.28,25.0,参考
3516,吉原聖人,3,6,0.16,0.1,0.22,0.0,C
3602,奥平拓也,4,6,0.138,0.06,0.25,0.0,C
3211,北川敏弘,6,8,0.178,0.04,0.32,25.0,C
2912,尾崎鉄也,3,4,0.3,0.19,0.42,0.0,参考
3360,原田富士男,4,3,0.213,0.16,0.3,33.33,参考
3627,井上恵一,4,13,0.202,0.04,0.33,7.69,B
3591,後藤孝義,6,5,0.162,0.11,0.26,0.0,C
3310,金澤一洋,4,3,0.22,0.19,0.25,0.0,参考
3293,宮内由紀英,3,4,0.245,0.16,0.46,25.0,参考
3190,片山友多加,6,3,0.187,0.14,0.26,0.0,参考
3227,長岡茂一,1,5,0.144,0.06,0.25,80.0,C
3516,吉原聖人,2,12,0.184,0.08,0.3,8.33,B
3108,松本真吾,5,3,0.203,0.04,0.39,0.0,参考
3628,石間徹,6,3,0.34,0.2,0.51,0.0,参考
3158,島川光男,1,3,0.113,0.07,0.15,66.67,参考
3231,吉田隆義,3,6,0.21,0.13,0.28,0.0,C
3161,古場輝義,5,5,0.24,0.16,0.33,0.0,C
3153,前川竜次,6,3,0.267,0.18,0.34,0.0,参考
3602,奥平拓也,6,5,0.208,0.15,0.32,0.0,C
3024,西島義則,2,9,0.184,0.12,0.25,0.0,C
3227,長岡茂一,4,5,0.16,0.03,0.23,20.0,C
3245,池上裕次,5,3,0.193,0.18,0.21,33.33,参考
3190,片山友多加,4,3,0.24,0.16,0.29,0.0,参考
2698,角川政志,2,4,0.17,0.13,0.26,0.0,参考
3211,北川敏弘,1,7,0.224,0.12,0.33,14.29,C
3108,松本真吾,2,3,0.153,0.11,0.2,33.33,参考
3227,長岡茂一,3,4,0.2,0.09,0.33,25.0,参考
3171,田川忠志,4,6,0.235,0.11,0.39,16.67,C
3153,前川竜次,4,3,0.227,0.16,0.33,0.0,参考
3161,古場輝義,1,8,0.13,0.06,0.34,12.5,C
3591,後藤孝義,3,3,0.143,0.13,0.16,0.0,参考
2912,尾崎鉄也,5,4,0.13,0.02,0.31,50.0,参考
3245,池上裕次,1,3,0.18,0.11,0.23,33.33,参考
3599,柿本達也,6,5,0.166,0.09,0.24,0.0,C
3602,奥平拓也,2,4,0.15,0.11,0.19,25.0,参考
3516,吉原聖人,5,9,0.211,0.13,0.38,0.0,C
3326,生方厚成,5,4,0.205,0.14,0.33,25.0,参考
3231,吉田隆義,1,5,0.168,0.15,0.2,0.0,C
3211,北川敏弘,4,4,0.138,0.08,0.17,50.0,参考
3024,西島義則,3,3,0.267,0.23,0.3,0.0,参考
2871,藤田治義,5,3,0.18,0.15,0.24,33.33,参考
3161,古場輝義,3,11,0.178,0.12,0.27,9.09,B
3360,原田富士男,1,3,0.173,0.1,0.22,33.33,参考
3231,吉田隆義,2,6,0.208,0.15,0.28,16.67,C
3227,長岡茂一,6,4,0.177,0.13,0.23,0.0,参考
3293,宮内由紀英,5,3,0.193,0.13,0.26,0.0,参考
3591,後藤孝義,1,4,0.165,0.06,0.21,50.0,参考
3516,吉原聖人,4,8,0.164,0.05,0.33,0.0,C
3227,長岡茂一,2,3,0.2,0.12,0.27,33.33,参考
3627,井上恵一,5,9,0.217,0.1,0.31,22.22,C
3591,後藤孝義,2,6,0.16,0.11,0.23,16.67,C
2883,柾田敏行,5,3,0.253,0.18,0.31,0.0,参考
2958,井川正人,3,4,0.175,0.12,0.25,50.0,参考
3211,北川敏弘,5,9,0.198,0.11,0.31,0.0,C
3427,大賀広幸,6,14,0.167,0.05,0.27,7.14,B
3516,吉原聖人,6,7,0.209,0.08,0.28,0.0,C
3602,奥平拓也,1,5,0.144,0.07,0.22,60.0,C
3211,北川敏弘,3,14,0.184,0.01,0.36,14.29,B
3171,田川忠志,6,3,0.2,0.14,0.32,0.0,参考
3171,田川忠志,2,3,0.147,0.06,0.26,33.33,参考
3602,奥平拓也,3,4,0.173,0.11,0.25,25.0,参考
