motor_no,snapshot_date,long_n,long_win_rate,long_top2_rate,long_top3_rate,long_avg_exhibition_time,deashi_score,nobi_score,mawariashi_score,recent_runs_count,recent_valid_finish_count,recent_top2_rate,recent_top3_rate,recent_avg_exhibition_time,recent_avg_exhibition_rank,recent_finish_quality,recent_trend_delta,rider_adjusted_quality,course_adjusted_quality,course_diversity,long_score_35,recent_score_40,rider_score_15,course_score_10,motor_score_100,motor_rank,reliability,normalization_version,source
48,2026-08-19,824,0.15776699029126215,0.3179611650485437,0.48058252427184467,6.814842233009709,0.1271844660194175,0.19223300970873788,0.16820388349514562,10,10,0.6,0.7,6.93,5.2,0.62,0.2,0.62,0.605,1.0,8.731,29.307,9.3,6.84,54.177,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
49,2026-08-19,886,0.18961625282167044,0.3690744920993228,0.5338600451467269,6.812528216704289,0.14762979683972913,0.21354401805869078,0.1868510158013544,10,10,0.5,0.7,6.858,2.4,0.66,0.04,0.686,0.651,1.0,29.038,31.42,10.29,7.208,77.956,A,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
50,2026-08-19,880,0.17954545454545454,0.33295454545454545,0.4818181818181818,6.819045454545455,0.13318181818181818,0.19272727272727275,0.1686363636363636,10,10,0.1,0.2,6.91,5.1,0.34,-0.2,0.364,0.333,1.0,13.715,10.067,5.46,4.664,33.906,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
51,2026-08-19,900,0.16111111111111112,0.3233333333333333,0.5055555555555555,6.806577777777778,0.12933333333333333,0.20222222222222222,0.17694444444444443,10,10,0.0,0.0,6.914,5.6,0.06,-0.04,0.072,0.066,0.5,15.331,2.867,1.08,1.528,20.805,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
52,2026-08-19,929,0.1797631862217438,0.35306781485468247,0.5231431646932185,6.811969860064585,0.141227125941873,0.20925726587728743,0.18310010764262646,10,9,0.333333,0.666667,6.896,4.0,0.6,0.18,0.668889,0.596667,1.0,25.077,25.418,10.033,6.773,67.301,B,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
54,2026-08-19,961,0.16649323621227888,0.32049947970863685,0.5067637877211238,6.815587929240374,0.12819979188345473,0.20270551508844956,0.17736732570239333,10,10,0.0,0.1,6.875,5.0,0.32,0.16,0.352,0.345,0.666667,14.654,7.133,5.28,4.093,31.161,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
55,2026-08-19,965,0.1616580310880829,0.33264248704663213,0.5191709844559586,6.80041450777202,0.13305699481865285,0.20766839378238344,0.18170984455958547,10,10,0.4,0.7,6.973,6.6,0.58,-0.12,0.522,0.576,1.0,21.223,23.853,7.83,6.608,59.514,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
56,2026-08-19,914,0.23413566739606126,0.4048140043763676,0.5557986870897156,6.811236323851204,0.16192560175054704,0.22231947483588624,0.19452954048140045,10,9,0.333333,0.444444,6.891,3.9,0.488889,-0.25,0.493333,0.485556,0.833333,32.669,20.762,7.4,5.551,66.383,B,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
58,2026-08-19,832,0.13701923076923078,0.2764423076923077,0.45072115384615385,6.821442307692307,0.11057692307692309,0.18028846153846156,0.15775240384615383,10,10,0.3,0.4,6.904,5.2,0.4,-0.32,0.438,0.396,1.0,1.746,16.993,6.57,5.168,30.477,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
59,2026-08-19,958,0.1826722338204593,0.33924843423799583,0.4989561586638831,6.813016701461378,0.13569937369519833,0.19958246346555325,0.17463465553235907,10,10,0.2,0.2,6.865,3.1,0.38,0.04,0.398,0.372,1.0,18.392,15.26,5.97,4.976,44.598,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
60,2026-08-19,852,0.13615023474178403,0.3039906103286385,0.4859154929577465,6.817769953051643,0.12159624413145541,0.1943661971830986,0.17007042253521126,10,10,0.3,0.4,6.9,3.6,0.44,-0.08,0.44,0.415,1.0,5.362,19.793,6.6,5.32,37.075,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
61,2026-08-19,899,0.1668520578420467,0.3259176863181313,0.5172413793103449,6.809844271412681,0.13036707452725252,0.20689655172413796,0.1810344827586207,10,10,0.3,0.3,6.928,5.7,0.3,-0.2,0.302,0.273,1.0,18.915,14.253,4.53,4.184,41.883,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
62,2026-08-19,888,0.15990990990990991,0.34459459459459457,0.5157657657657657,6.820078828828828,0.13783783783783785,0.2063063063063063,0.18051801801801798,10,10,0.5,0.6,6.899,4.4,0.6,-0.32,0.65,0.597,1.0,18.285,26.18,9.75,6.776,60.991,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
64,2026-08-19,919,0.18171926006528835,0.32752992383025026,0.5048966267682263,6.811893362350381,0.13101196953210012,0.20195865070729055,0.1767138193688792,10,10,0.2,0.6,6.959,6.6,0.54,0.28,0.584,0.54,1.0,17.838,18.88,8.76,6.32,51.798,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
66,2026-08-19,929,0.17007534983853606,0.3595263724434876,0.5231431646932185,6.816167922497309,0.14381054897739506,0.20925726587728743,0.18310010764262646,10,10,0.2,0.3,6.862,3.7,0.46,-0.2,0.486,0.447,1.0,23.815,16.18,7.29,5.576,52.861,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
67,2026-08-19,903,0.16279069767441862,0.3266888150609081,0.4806201550387597,6.811506090808416,0.13067552602436325,0.1922480620155039,0.1682170542635659,10,10,0.3,0.5,6.891,3.1,0.46,-0.2,0.47,0.452,1.0,11.315,22.053,7.05,5.616,46.035,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
70,2026-08-19,704,0.171875,0.32670454545454547,0.5113636363636364,6.806718750000001,0.1306818181818182,0.20454545454545456,0.1789772727272727,10,9,0.555556,0.666667,6.908,4.5,0.666667,-0.12,0.6,0.642222,0.833333,19.562,28.792,9.0,6.804,64.158,B,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
71,2026-08-19,702,0.1866096866096866,0.3646723646723647,0.5185185185185185,6.805270655270656,0.1458689458689459,0.2074074074074074,0.18148148148148147,10,10,0.3,0.4,6.911,4.7,0.4,0.0,0.43,0.395,1.0,27.669,18.12,6.45,5.16,57.399,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
72,2026-08-19,712,0.15168539325842698,0.34831460674157305,0.5365168539325843,6.798904494382022,0.13932584269662923,0.21460674157303372,0.1877808988764045,10,10,0.1,0.2,6.913,4.7,0.36,-0.16,0.386,0.348,1.0,23.9,10.8,5.79,4.784,45.274,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
73,2026-08-19,618,0.15857605177993528,0.30258899676375406,0.44983818770226536,6.817038834951457,0.12103559870550162,0.17993527508090615,0.15744336569579287,10,10,0.3,0.3,6.958,6.1,0.42,0.04,0.442,0.408,1.0,4.762,14.873,6.63,5.264,31.529,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
