player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4715,村 上 遼,1,5,0.118,0.08,0.15,60.0,C
4759,今 泉 友 吾,4,9,0.191,0.12,0.33,0.0,C
4373,若 狭 奈美子,5,11,0.203,0.08,0.34,9.09,B
3885,久 田 武,1,9,0.154,0.07,0.22,22.22,C
3559,水 長 照 雄,2,3,0.167,0.13,0.19,0.0,参考
4737,竹 井 貴 史,4,17,0.132,0.01,0.3,41.18,B
4498,宮 本 夏 樹,6,7,0.189,0.08,0.28,14.29,C
4757,山 田 祐 也,2,6,0.12,0.04,0.18,0.0,C
4529,嶋 義 信,3,4,0.138,0.07,0.2,50.0,参考
3296,高 柳 成 聡,5,3,0.16,0.11,0.26,0.0,参考
4502,遠 藤 エ ミ,1,12,0.158,0.01,0.31,33.33,B
4382,高 山 智 至,2,4,0.163,0.07,0.28,50.0,参考
4466,南 佑 典,4,4,0.202,0.11,0.31,25.0,参考
4359,横 川 聖 志,1,5,0.14,0.02,0.23,60.0,C
3379,打 越 晶,4,5,0.15,0.07,0.29,60.0,C
4047,吉 永 浩 則,5,9,0.207,0.14,0.29,0.0,C
4233,亀 山 雅 幸,1,3,0.083,0.03,0.12,33.33,参考
4737,竹 井 貴 史,3,11,0.139,0.08,0.23,27.27,B
4498,宮 本 夏 樹,4,6,0.15,0.11,0.22,33.33,C
4488,小 山 勉,6,4,0.175,0.12,0.21,0.0,参考
4015,前 野 竜 一,1,11,0.169,0.05,0.26,9.09,B
4208,三 浦 永 理,2,9,0.159,0.09,0.24,0.0,C
4715,村 上 遼,3,8,0.125,0.02,0.3,37.5,C
3333,丸 尾 義 孝,4,4,0.177,0.06,0.34,50.0,参考
4529,嶋 義 信,5,5,0.198,0.09,0.25,20.0,C
3842,星 野 太 郎,1,5,0.162,0.12,0.25,0.0,C
3455,谷 本 幸 司,2,6,0.172,0.11,0.24,16.67,C
4359,横 川 聖 志,3,8,0.131,0.04,0.24,12.5,C
4313,西 村 美智子,3,6,0.08,0.05,0.11,66.67,C
4382,高 山 智 至,4,3,0.16,0.07,0.21,33.33,参考
4743,木 村 仁 紀,2,3,0.12,0.06,0.18,33.33,参考
4625,渡 邊 裕 貴,2,5,0.156,0.13,0.18,20.0,C
4236,松 村 敏,3,19,0.118,0.05,0.25,31.58,B
4529,嶋 義 信,2,5,0.16,0.08,0.24,0.0,C
4466,南 佑 典,3,3,0.19,0.15,0.25,0.0,参考
4233,亀 山 雅 幸,4,5,0.152,0.07,0.27,80.0,C
3885,久 田 武,5,9,0.196,0.11,0.33,22.22,C
4373,若 狭 奈美子,6,11,0.248,0.14,0.39,0.0,B
4737,竹 井 貴 史,2,10,0.19,0.03,0.31,20.0,B
4047,吉 永 浩 則,4,4,0.143,0.08,0.28,0.0,参考
3584,佐々木 英 樹,2,13,0.168,0.11,0.28,23.08,B
4743,木 村 仁 紀,3,4,0.16,0.03,0.33,25.0,参考
4759,今 泉 友 吾,5,9,0.164,0.13,0.24,11.11,C
4313,西 村 美智子,5,9,0.142,0.03,0.27,22.22,C
3902,蜷 川 哲 平,2,3,0.287,0.12,0.4,0.0,参考
4359,横 川 聖 志,6,7,0.106,0.01,0.21,28.57,C
3842,星 野 太 郎,2,3,0.26,0.17,0.37,0.0,参考
4208,三 浦 永 理,4,11,0.12,0.01,0.24,27.27,B
3559,水 長 照 雄,6,3,0.16,0.09,0.25,0.0,参考
4488,小 山 勉,3,4,0.138,0.11,0.19,25.0,参考
4466,南 佑 典,5,3,0.197,0.13,0.27,0.0,参考
3885,久 田 武,6,5,0.232,0.14,0.31,0.0,C
4757,山 田 祐 也,5,7,0.161,0.09,0.34,42.86,C
4434,田 中 辰 彦,6,6,0.2,0.11,0.25,0.0,C
4015,前 野 竜 一,5,5,0.144,0.08,0.17,0.0,C
3885,久 田 武,3,8,0.135,0.06,0.21,12.5,C
4757,山 田 祐 也,4,7,0.149,0.04,0.21,42.86,C
