player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3293,宮 内 由紀英,2,5,0.0,0.0,40.0,40.0,0.158,0.05,0.31,20.0,52.69,-12.69,0,0.0,苦手,C
3641,一 瀬 明,3,5,0.0,20.0,20.0,40.0,0.134,0.11,0.15,0.0,52.71,-12.71,0,0.0,苦手,C
4167,片 岡 秀 樹,2,6,0.0,0.0,33.33,33.33,0.19,0.04,0.32,0.0,52.69,-19.36,0,0.0,苦手,C
3807,岡 部 哲,6,5,0.0,0.0,0.0,0.0,0.184,0.08,0.26,20.0,23.06,-23.06,1,20.0,苦手,C
3663,木 山 和 幸,2,14,7.14,7.14,21.43,35.71,0.166,0.06,0.28,7.14,52.69,-16.98,1,7.14,苦手,B
2585,原 由樹夫,2,10,0.0,20.0,20.0,40.0,0.21,0.14,0.32,0.0,52.69,-12.69,5,50.0,苦手,B
3825,宮 嵜 隆太郎,5,13,0.0,7.69,15.38,23.08,0.152,0.06,0.24,46.15,38.06,-14.98,4,30.77,苦手,B
4272,大 場 広 孝,4,16,0.0,6.25,25.0,31.25,0.159,0.02,0.29,18.75,49.52,-18.27,2,12.5,苦手,B
4053,芦 澤 望,4,7,14.29,14.29,0.0,28.57,0.147,0.06,0.27,14.29,49.52,-20.95,1,14.29,苦手,C
3587,武 田 信 一,6,5,0.0,0.0,0.0,0.0,0.138,0.07,0.19,20.0,23.06,-23.06,1,20.0,苦手,C
3907,村 越 篤,2,5,0.0,20.0,20.0,40.0,0.176,0.14,0.21,20.0,52.69,-12.69,1,20.0,苦手,C
3663,木 山 和 幸,6,8,0.0,0.0,0.0,0.0,0.171,0.08,0.25,25.0,23.06,-23.06,0,0.0,苦手,C
4393,田 中 孝 明,1,12,8.33,16.67,25.0,50.0,0.208,0.11,0.4,8.33,84.17,-34.17,0,0.0,苦手,B
4789,古 賀 智 之,6,14,0.0,0.0,7.14,7.14,0.183,0.01,0.38,35.71,23.06,-15.92,3,21.43,苦手,B
3843,上 之 晃 弘,1,7,42.86,14.29,0.0,57.14,0.149,0.09,0.22,28.57,84.17,-27.03,0,0.0,苦手,C
3789,和 田 敏 彦,3,7,0.0,0.0,14.29,14.29,0.249,0.11,0.46,0.0,52.71,-38.42,1,14.29,苦手,C
3325,福 本 忠 治,4,5,0.0,0.0,20.0,20.0,0.178,0.12,0.23,0.0,49.52,-29.52,1,20.0,苦手,C
4647,磯 部 温 志,6,11,0.0,0.0,0.0,0.0,0.306,0.18,0.53,0.0,23.06,-23.06,5,45.45,苦手,B
4789,古 賀 智 之,5,16,6.25,6.25,6.25,18.75,0.181,0.04,0.34,12.5,38.06,-19.31,5,31.25,苦手,B
3757,畑 和 宏,3,5,0.0,40.0,0.0,40.0,0.174,0.11,0.23,20.0,52.71,-12.71,0,0.0,苦手,C
4196,田 中 太一郎,3,5,0.0,40.0,0.0,40.0,0.16,0.1,0.21,0.0,52.71,-12.71,0,0.0,苦手,C
3521,今 村 賢二郎,2,5,0.0,0.0,40.0,40.0,0.166,0.06,0.29,40.0,52.69,-12.69,0,0.0,苦手,C
2816,陶 山 秀 徳,4,6,0.0,16.67,16.67,33.33,0.267,0.17,0.4,0.0,49.52,-16.19,1,16.67,苦手,C
4774,丸 山 龍太郎,6,19,0.0,10.53,0.0,10.53,0.232,0.01,0.51,10.53,23.06,-12.53,3,15.79,苦手,B
4666,日 笠 勝 弘,3,5,0.0,20.0,20.0,40.0,0.168,0.08,0.25,20.0,52.71,-12.71,2,40.0,苦手,C
4393,田 中 孝 明,4,11,0.0,36.36,0.0,36.36,0.166,0.1,0.35,0.0,49.52,-13.16,0,0.0,苦手,B
3717,立 間 充 宏,4,8,12.5,0.0,25.0,37.5,0.134,0.04,0.27,12.5,49.52,-12.02,0,0.0,苦手,C
4196,田 中 太一郎,4,8,12.5,12.5,12.5,37.5,0.195,0.11,0.28,12.5,49.52,-12.02,1,12.5,苦手,C
4429,豊 田 泰 洋,5,9,11.11,0.0,11.11,22.22,0.17,0.12,0.33,11.11,38.06,-15.84,4,44.44,苦手,C
3843,上 之 晃 弘,3,7,0.0,0.0,14.29,14.29,0.204,0.09,0.44,14.29,52.71,-38.42,0,0.0,苦手,C
3757,畑 和 宏,4,8,12.5,12.5,0.0,25.0,0.18,0.04,0.27,12.5,49.52,-24.52,1,12.5,苦手,C
3501,川 上 昇 平,5,7,0.0,0.0,14.29,14.29,0.14,0.06,0.21,14.29,38.06,-23.77,3,42.86,苦手,C
3890,小 宮 淳 史,2,6,16.67,16.67,0.0,33.33,0.158,0.04,0.26,0.0,52.69,-19.36,0,0.0,苦手,C
3890,小 宮 淳 史,3,8,0.0,0.0,37.5,37.5,0.228,0.09,0.38,25.0,52.71,-15.21,1,12.5,苦手,C
4051,清 水 敦 揮,5,8,0.0,0.0,25.0,25.0,0.219,0.11,0.39,12.5,38.06,-13.06,0,0.0,苦手,C
4393,田 中 孝 明,5,14,0.0,0.0,14.29,14.29,0.181,0.07,0.35,0.0,38.06,-23.77,2,14.29,苦手,B
4366,前 沢 丈 史,4,6,0.0,16.67,0.0,16.67,0.085,0.02,0.16,33.33,49.52,-32.85,0,0.0,苦手,C
3325,福 本 忠 治,5,6,0.0,16.67,0.0,16.67,0.172,0.13,0.23,0.0,38.06,-21.39,2,33.33,苦手,C
3711,江 本 真 治,5,5,0.0,20.0,0.0,20.0,0.176,0.11,0.22,0.0,38.06,-18.06,0,0.0,苦手,C
3875,廣 中 良 一,5,6,0.0,0.0,16.67,16.67,0.173,0.11,0.26,50.0,38.06,-21.39,2,33.33,苦手,C
4774,丸 山 龍太郎,5,5,0.0,0.0,0.0,0.0,0.278,0.11,0.51,0.0,38.06,-38.06,0,0.0,苦手,C
3539,金 子 順 一,2,8,0.0,37.5,0.0,37.5,0.195,0.07,0.26,0.0,52.69,-15.19,1,12.5,苦手,C
4567,上 村 慎太郎,5,5,0.0,0.0,20.0,20.0,0.252,0.18,0.33,0.0,38.06,-18.06,1,20.0,苦手,C
4180,上 野 秀 和,1,8,12.5,25.0,12.5,50.0,0.181,0.09,0.32,12.5,84.17,-34.17,0,0.0,苦手,C
4299,中 島 浩 哉,3,5,0.0,0.0,0.0,0.0,0.138,0.06,0.23,40.0,52.71,-52.71,0,0.0,苦手,C
3539,金 子 順 一,4,10,10.0,0.0,0.0,10.0,0.19,0.11,0.33,0.0,49.52,-39.52,4,40.0,苦手,B
4567,上 村 慎太郎,2,11,0.0,9.09,18.18,27.27,0.223,0.15,0.34,0.0,52.69,-25.42,0,0.0,苦手,B
4695,尾 崎 雄 二,5,14,0.0,7.14,14.29,21.43,0.145,0.06,0.42,21.43,38.06,-16.63,3,21.43,苦手,B
4567,上 村 慎太郎,4,12,0.0,8.33,16.67,25.0,0.203,0.12,0.29,0.0,49.52,-24.52,5,41.67,苦手,B
3593,横 井 光 弘,3,9,11.11,0.0,11.11,22.22,0.243,0.13,0.36,0.0,52.71,-30.49,1,11.11,苦手,C
4567,上 村 慎太郎,3,6,0.0,0.0,33.33,33.33,0.217,0.16,0.33,0.0,52.71,-19.38,1,16.67,苦手,C
4695,尾 崎 雄 二,3,10,0.0,40.0,0.0,40.0,0.218,0.1,0.29,0.0,52.71,-12.71,1,10.0,苦手,B
4820,上 野 励,6,9,0.0,0.0,0.0,0.0,0.142,0.02,0.26,33.33,23.06,-23.06,1,11.11,苦手,C
4881,檀 将 太,6,20,0.0,5.0,0.0,5.0,0.2,0.05,0.63,15.0,23.06,-18.06,4,20.0,苦手,A
