player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4173,岡 谷 健 吾,3,3,7,0.0,28.57,14.29,42.86,0.147,0.12,0.17,0.0,52.71,-9.85,0,0.0,標準,C
4394,永 嶋 裕 一,4,4,11,9.09,45.45,18.18,72.73,0.117,0.05,0.24,45.45,49.52,23.21,0,0.0,得意,B
4060,島 田 一 生,6,6,7,0.0,14.29,14.29,28.57,0.157,0.04,0.28,42.86,23.06,5.51,0,0.0,やや得意,C
3502,渡 邉 英 児,1,1,8,62.5,25.0,0.0,87.5,0.206,0.15,0.31,25.0,84.17,3.33,0,0.0,標準,C
3305,小 野 信 樹,2,2,3,0.0,33.33,33.33,66.67,0.173,0.11,0.23,0.0,52.69,13.98,0,0.0,少数参考,参考
4261,岡 祐 臣,3,3,7,42.86,14.29,14.29,71.43,0.137,0.03,0.24,28.57,52.71,18.72,0,0.0,得意,C
4010,越 智 照 浩,4,4,7,14.29,14.29,42.86,71.43,0.196,0.04,0.31,0.0,49.52,21.91,0,0.0,得意,C
4216,星 栄 爾,5,5,5,20.0,0.0,20.0,40.0,0.116,0.01,0.29,40.0,38.06,1.94,0,0.0,標準,C
3593,横 井 光 弘,6,6,9,0.0,0.0,11.11,11.11,0.198,0.11,0.34,0.0,23.06,-11.95,0,0.0,苦手,C
4459,片 岡 雅 裕,1,1,5,60.0,0.0,20.0,80.0,0.138,0.12,0.16,40.0,84.17,-4.17,0,0.0,得意,C
4079,出 畑 孝 典,2,3,3,0.0,33.33,33.33,66.67,0.223,0.14,0.36,0.0,52.71,13.96,3,100.0,少数参考,参考
3542,清 水 紀 克,6,2,3,0.0,33.33,0.0,33.33,0.14,0.13,0.15,33.33,52.69,-19.36,3,100.0,少数参考,参考
4475,末 永 祐 輝,1,1,4,25.0,50.0,0.0,75.0,0.138,0.09,0.24,75.0,84.17,-9.17,0,0.0,少数参考,参考
3566,川 添 英 正,2,2,13,7.69,38.46,23.08,69.23,0.188,0.04,0.27,7.69,52.69,16.54,0,0.0,得意,B
4698,高 山 隆 成,5,5,8,0.0,0.0,0.0,0.0,0.229,0.04,0.5,0.0,38.06,-38.06,0,0.0,苦手,C
4062,後 藤 陽 介,6,6,8,0.0,12.5,0.0,12.5,0.17,0.09,0.32,12.5,23.06,-10.56,0,0.0,苦手,C
4394,永 嶋 裕 一,1,1,7,71.43,0.0,14.29,85.71,0.151,0.1,0.21,42.86,84.17,1.54,0,0.0,得意,C
4739,中 村 晃 朋,3,3,4,0.0,75.0,25.0,100.0,0.148,0.08,0.2,0.0,52.71,47.29,0,0.0,少数参考,参考
3660,長谷川 親 王,5,5,7,0.0,14.29,14.29,28.57,0.177,0.11,0.25,14.29,38.06,-9.49,0,0.0,標準,C
3661,柳 瀬 興 志,6,6,4,0.0,0.0,0.0,0.0,0.172,0.11,0.24,0.0,23.06,-23.06,0,0.0,少数参考,参考
2930,新 良 一 規,1,1,5,40.0,40.0,0.0,80.0,0.14,0.01,0.21,20.0,84.17,-4.17,0,0.0,得意,C
4265,村 上 祐 次,2,2,8,0.0,0.0,0.0,0.0,0.199,0.12,0.36,0.0,52.69,-52.69,0,0.0,苦手,C
4358,松 本 庸 平,4,4,6,0.0,16.67,16.67,33.33,0.178,0.14,0.24,0.0,49.52,-16.19,0,0.0,苦手,C
4232,笠 雅 雄,5,5,5,0.0,20.0,20.0,40.0,0.138,0.09,0.17,20.0,38.06,1.94,0,0.0,標準,C
3893,汐 崎 正 則,6,6,5,0.0,0.0,0.0,0.0,0.172,0.05,0.32,20.0,23.06,-23.06,0,0.0,苦手,C
4459,片 岡 雅 裕,2,2,3,33.33,33.33,0.0,66.67,0.1,0.05,0.17,0.0,52.69,13.98,0,0.0,少数参考,参考
3698,小 巻 良 至,3,3,5,0.0,40.0,20.0,60.0,0.13,0.09,0.19,20.0,52.71,7.29,0,0.0,やや得意,C
3502,渡 邉 英 児,4,4,8,0.0,12.5,0.0,12.5,0.13,0.06,0.18,0.0,49.52,-37.02,0,0.0,苦手,C
3051,山 口 俊 英,5,5,3,0.0,0.0,33.33,33.33,0.16,0.15,0.17,0.0,38.06,-4.73,0,0.0,少数参考,参考
4261,岡 祐 臣,1,1,13,76.92,7.69,0.0,84.62,0.165,0.05,0.24,30.77,84.17,0.45,0,0.0,得意,B
3880,浅 見 宗 孝,2,2,6,33.33,16.67,16.67,66.67,0.14,0.02,0.26,33.33,52.69,13.98,0,0.0,得意,C
4231,鈴 木 裕 隆,5,5,7,14.29,0.0,14.29,28.57,0.126,0.04,0.19,14.29,38.06,-9.49,0,0.0,標準,C
4173,岡 谷 健 吾,1,1,7,42.86,0.0,28.57,71.43,0.194,0.12,0.29,28.57,84.17,-12.74,0,0.0,苦手,C
3959,坪 井 康 晴,2,2,4,50.0,50.0,0.0,100.0,0.168,0.13,0.19,0.0,52.69,47.31,0,0.0,少数参考,参考
3305,小 野 信 樹,3,3,8,0.0,12.5,12.5,25.0,0.136,0.09,0.18,37.5,52.71,-27.71,0,0.0,苦手,C
3661,柳 瀬 興 志,4,4,4,0.0,25.0,25.0,50.0,0.163,0.1,0.23,0.0,49.52,0.48,0,0.0,少数参考,参考
4102,益 田 啓 司,5,5,16,18.75,12.5,25.0,56.25,0.103,0.01,0.16,31.25,38.06,18.19,0,0.0,得意,B
4079,出 畑 孝 典,1,1,23,73.91,17.39,8.7,100.0,0.137,0.03,0.25,26.09,84.17,15.83,0,0.0,得意,A
2930,新 良 一 規,2,2,6,0.0,16.67,16.67,33.33,0.19,0.13,0.28,0.0,52.69,-19.36,0,0.0,苦手,C
4148,枝 尾 賢,3,3,10,30.0,30.0,10.0,70.0,0.141,0.07,0.2,40.0,52.71,17.29,0,0.0,得意,B
4205,山 口 剛,4,4,8,25.0,25.0,12.5,62.5,0.077,0.04,0.15,37.5,49.52,12.98,0,0.0,得意,C
4062,後 藤 陽 介,5,5,4,0.0,25.0,0.0,25.0,0.13,0.07,0.16,25.0,38.06,-13.06,0,0.0,少数参考,参考
4216,星 栄 爾,6,6,5,0.0,0.0,0.0,0.0,0.166,0.08,0.27,20.0,23.06,-23.06,0,0.0,苦手,C
3368,新 名 文 博,2,2,3,0.0,0.0,0.0,0.0,0.157,0.06,0.26,0.0,52.69,-52.69,0,0.0,少数参考,参考
4232,笠 雅 雄,4,4,9,22.22,11.11,22.22,55.56,0.137,0.01,0.24,55.56,49.52,6.04,0,0.0,やや得意,C
3051,山 口 俊 英,1,1,4,0.0,75.0,25.0,100.0,0.083,0.06,0.11,100.0,84.17,15.83,0,0.0,少数参考,参考
3893,汐 崎 正 則,2,2,7,28.57,42.86,0.0,71.43,0.227,0.16,0.42,0.0,52.69,18.74,0,0.0,得意,C
4060,島 田 一 生,5,5,4,0.0,25.0,0.0,25.0,0.138,0.07,0.24,0.0,38.06,-13.06,0,0.0,少数参考,参考
4265,村 上 祐 次,6,6,5,0.0,0.0,0.0,0.0,0.186,0.05,0.34,0.0,23.06,-23.06,0,0.0,苦手,C
4102,益 田 啓 司,3,3,17,11.76,17.65,41.18,70.59,0.131,0.05,0.25,35.29,52.71,17.88,0,0.0,得意,B
3599,柿 本 達 也,4,4,3,0.0,0.0,0.0,0.0,0.17,0.14,0.21,33.33,49.52,-49.52,0,0.0,少数参考,参考
4148,枝 尾 賢,5,5,15,6.67,26.67,20.0,53.33,0.127,0.01,0.19,20.0,38.06,15.27,0,0.0,得意,B
2930,新 良 一 規,3,3,4,25.0,25.0,0.0,50.0,0.172,0.13,0.19,0.0,52.71,-2.71,0,0.0,少数参考,参考
4231,鈴 木 裕 隆,4,4,7,14.29,0.0,28.57,42.86,0.146,0.07,0.2,28.57,49.52,-6.66,0,0.0,標準,C
4394,永 嶋 裕 一,5,5,10,10.0,30.0,20.0,60.0,0.15,0.08,0.31,20.0,38.06,21.94,0,0.0,得意,B
3617,竹 田 広 樹,3,3,7,0.0,14.29,28.57,42.86,0.176,0.08,0.27,14.29,52.71,-9.85,0,0.0,標準,C
3698,小 巻 良 至,5,5,3,0.0,0.0,33.33,33.33,0.25,0.19,0.3,0.0,38.06,-4.73,0,0.0,少数参考,参考
