motor_no,n,win_rate,top2_rate,top3_rate,avg_exhibition_time,avg_start_timing,avg_motor_2ren_rate,avg_motor_3ren_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,deashi_score,nobi_score,mawariashi_score,motor_type,sample_reliability
53,934,0.16595289079229122,0.3297644539614561,0.5149892933618844,6.807558886509637,0.1701713062098501,,,0.0,0.0,0.0,0.0,0.13190578158458244,0.20599571734475375,0.18024625267665953,伸び型,1.0
54,961,0.16649323621227888,0.32049947970863685,0.5067637877211238,6.815587929240374,0.16298647242455774,,,0.0,0.0,0.0,0.0,0.12819979188345473,0.20270551508844956,0.17736732570239333,伸び型,1.0
55,965,0.1616580310880829,0.33264248704663213,0.5191709844559586,6.80041450777202,0.16560621761658031,,,0.0,0.0,0.0,0.0,0.13305699481865285,0.20766839378238344,0.18170984455958547,伸び型,1.0
56,914,0.23413566739606126,0.4048140043763676,0.5557986870897156,6.811236323851204,0.16145514223194748,,,0.0,0.0,0.0,0.0,0.16192560175054704,0.22231947483588624,0.19452954048140045,伸び型,1.0
57,933,0.19185423365487675,0.3837084673097535,0.5562700964630225,6.806323687031083,0.16158628081457663,,,0.0,0.0,0.0,0.0,0.1534833869239014,0.222508038585209,0.19469453376205786,伸び型,1.0
58,832,0.13701923076923078,0.2764423076923077,0.45072115384615385,6.821442307692307,0.17026442307692308,,,0.0,0.0,0.0,0.0,0.11057692307692309,0.18028846153846156,0.15775240384615383,伸び型,1.0
59,958,0.1826722338204593,0.33924843423799583,0.4989561586638831,6.813016701461378,0.16258872651356993,,,0.0,0.0,0.0,0.0,0.13569937369519833,0.19958246346555325,0.17463465553235907,伸び型,1.0
60,852,0.13615023474178403,0.3039906103286385,0.4859154929577465,6.817769953051643,0.16760563380281693,,,0.0,0.0,0.0,0.0,0.12159624413145541,0.1943661971830986,0.17007042253521126,伸び型,1.0
61,899,0.1668520578420467,0.3259176863181313,0.5172413793103449,6.809844271412681,0.16776418242491656,,,0.0,0.0,0.0,0.0,0.13036707452725252,0.20689655172413796,0.1810344827586207,伸び型,1.0
62,888,0.15990990990990991,0.34459459459459457,0.5157657657657657,6.820078828828828,0.16783783783783782,,,0.0,0.0,0.0,0.0,0.13783783783783785,0.2063063063063063,0.18051801801801798,伸び型,1.0
63,880,0.17727272727272728,0.3397727272727273,0.5386363636363637,6.8137159090909085,0.16465909090909092,,,0.0,0.0,0.0,0.0,0.13590909090909092,0.21545454545454548,0.1885227272727273,伸び型,1.0
64,919,0.18171926006528835,0.32752992383025026,0.5048966267682263,6.811893362350381,0.16524483133841134,,,0.0,0.0,0.0,0.0,0.13101196953210012,0.20195865070729055,0.1767138193688792,伸び型,1.0
65,873,0.19014891179839633,0.36769759450171824,0.54524627720504,6.807605956471936,0.1645475372279496,,,0.0,0.0,0.0,0.0,0.1470790378006873,0.21809851088201604,0.190836197021764,伸び型,1.0
66,929,0.17007534983853606,0.3595263724434876,0.5231431646932185,6.816167922497309,0.16254036598493002,,,0.0,0.0,0.0,0.0,0.14381054897739506,0.20925726587728743,0.18310010764262646,伸び型,1.0
67,903,0.16279069767441862,0.3266888150609081,0.4806201550387597,6.811506090808416,0.16573643410852712,,,0.0,0.0,0.0,0.0,0.13067552602436325,0.1922480620155039,0.1682170542635659,伸び型,1.0
68,687,0.18631732168850074,0.3522561863173217,0.537117903930131,6.807379912663755,0.1598981077147016,,,0.0,0.0,0.0,0.0,0.1409024745269287,0.21484716157205241,0.18799126637554586,伸び型,1.0
69,667,0.17841079460269865,0.32983508245877063,0.48575712143928035,6.8137781109445275,0.15937031484257871,,,0.0,0.0,0.0,0.0,0.13193403298350825,0.19430284857571214,0.1700149925037481,伸び型,1.0
70,704,0.171875,0.32670454545454547,0.5113636363636364,6.806718750000001,0.16430397727272728,,,0.0,0.0,0.0,0.0,0.1306818181818182,0.20454545454545456,0.1789772727272727,伸び型,1.0
71,702,0.1866096866096866,0.3646723646723647,0.5185185185185185,6.805270655270656,0.15975783475783475,,,0.0,0.0,0.0,0.0,0.1458689458689459,0.2074074074074074,0.18148148148148147,伸び型,1.0
72,712,0.15168539325842698,0.34831460674157305,0.5365168539325843,6.798904494382022,0.1680056179775281,,,0.0,0.0,0.0,0.0,0.13932584269662923,0.21460674157303372,0.1877808988764045,伸び型,1.0
73,618,0.15857605177993528,0.30258899676375406,0.44983818770226536,6.817038834951457,0.15954692556634306,,,0.0,0.0,0.0,0.0,0.12103559870550162,0.17993527508090615,0.15744336569579287,伸び型,1.0
74,232,0.10344827586206896,0.25862068965517243,0.41379310344827586,6.842629310344828,0.17262931034482756,,,0.0,0.0,0.0,0.0,0.10344827586206898,0.16551724137931034,0.14482758620689654,伸び型,0.955131090989278
75,235,0.14468085106382977,0.3021276595744681,0.4425531914893617,6.838170212765958,0.17812765957446808,,,0.0,0.0,0.0,0.0,0.12085106382978723,0.17702127659574468,0.15489361702127658,伸び型,0.9573727423445936
